Image,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Correlation,Entropy,Gabor,Gabor_0,Gabor_45,Gabor_90,Gabor_135,HOG,LBP,Category
gg (1),0.43200659516765283,0.22271018244575938,0.9084911640791001,0.39614330996798264,0.6293991658462718,0.765875118183532,2.223085156543975,0.00015107642933521957,0.006793148216868165,0.0002440757533363918,0.006793148216868159,0.0002440757533363911,0.19600149255370664,2.051598890827747,glioma_tumor
gg (10),0.6481447238658776,0.27294440335305714,0.8965044761169237,0.37848965213972796,0.6152151267156294,0.7479870650723309,2.4414386095468545,0.00019950815228424418,0.0077659856641587345,0.0002790295075076453,0.007765985664158726,0.0002790295075076445,0.22292143230997113,2.192348675490204,glioma_tumor
gg (100),0.4896834935897436,0.3052730522682446,0.8653683719182818,0.25863296767129884,0.5085596992205526,0.8641858863561239,3.0004038651601896,0.00029469692842146715,0.011653745764779625,0.00041871554777303543,0.011653745764779613,0.0004187155477730345,0.2995679654311128,2.522378652439326,glioma_tumor
gg (101),0.6275194156804733,0.3485499876725838,0.8521353107408897,0.21962089993876174,0.4686372797150924,0.8006305376535673,3.1342764744285696,0.0002849858460823497,0.011774289417153937,0.0004230465522230399,0.011774289417153937,0.00042304673699933575,0.29929877148897205,2.581934742281949,glioma_tumor
gg (102),0.6285364275147929,0.3413230399408284,0.8554145221266641,0.2107186048666549,0.4590409620792625,0.77429966355323,3.099211829420385,0.0002630817705245367,0.011387821174323264,0.0004091609579607392,0.011387821174323255,0.00040916095796073785,0.29704529679221287,2.563554809654402,glioma_tumor
gg (103),0.3649993836291914,0.26520124506903353,0.877190358884146,0.27959806094558753,0.528770329108572,0.845284510590521,2.735434336365434,0.00019639703396904615,0.009486469618763536,0.00034084597373469026,0.009486469618763527,0.00034084597373468907,0.2904784087308584,2.4511931547577186,glioma_tumor
gg (104),0.49422922830374755,0.30166728303747536,0.8679254635565276,0.2500441113095378,0.5000441093639019,0.8651227980537683,2.998735481404248,0.00031395166135044715,0.012406348725619009,0.0004457563436994283,0.012406348725618998,0.0004457563436994272,0.29422050201309946,2.5175496629777045,glioma_tumor
gg (105),0.6648098496055227,0.3620253944773176,0.8475035008271443,0.22358457270882479,0.47284730379777445,0.817227510267718,3.17470981268364,0.0003189216149357739,0.012543959566159193,0.0004507006594275467,0.01254395956615918,0.00045070065942754545,0.30085254932109906,2.5878274657073295,glioma_tumor
gg (106),0.6828618096646942,0.35363504684418146,0.8530172083764801,0.22788910632994241,0.47737732071176403,0.8117776886546586,3.1272252567589103,0.00033097502632232714,0.01290958850390554,0.0004638375961721963,0.012909588503905535,0.0004638375961721948,0.2963998295382253,2.5929235289576495,glioma_tumor
gg (107),0.5545102933925049,0.31500400641025644,0.8645014925829568,0.23531565587860234,0.4850934506655417,0.7436771066192035,2.8888826353260684,0.00022262695117465414,0.010647783571223004,0.00038257163152363293,0.010647783571222993,0.00038257163152363163,0.29742225071167927,2.5624405328026163,glioma_tumor
